ProbeName	circRNA
ASCRP3000001	hsa_circRNA_082501
ASCRP3000002	hsa_circRNA_407247
ASCRP3000003	hsa_circRNA_007418
ASCRP3000004	hsa_circRNA_407121
ASCRP3000005	hsa_circRNA_407087
ASCRP3000006	hsa_circRNA_061985
ASCRP3000007	hsa_circRNA_404446
ASCRP3000008	hsa_circRNA_043081
ASCRP3000009	hsa_circRNA_401039
ASCRP3000010	hsa_circRNA_400114
ASCRP3000011	hsa_circRNA_100501
ASCRP3000012	hsa_circRNA_000654
ASCRP3000013	hsa_circRNA_104195
ASCRP3000014	hsa_circRNA_404754
ASCRP3000015	hsa_circRNA_103950
ASCRP3000016	hsa_circRNA_007390
ASCRP3000017	hsa_circRNA_008846
ASCRP3000018	hsa_circRNA_000542
ASCRP3000019	hsa_circRNA_404789
ASCRP3000020	hsa_circRNA_007645
ASCRP3000021	hsa_circRNA_102997
ASCRP3000022	hsa_circRNA_402543
ASCRP3000023	hsa_circRNA_404823
ASCRP3000024	hsa_circRNA_103917
ASCRP3000025	hsa_circRNA_102887
ASCRP3000026	hsa_circRNA_405950
ASCRP3000027	hsa_circRNA_054947
ASCRP3000028	hsa_circRNA_406825
ASCRP3000029	hsa_circRNA_031460
ASCRP3000030	hsa_circRNA_407023
ASCRP3000031	hsa_circRNA_406859
ASCRP3000032	hsa_circRNA_102776
ASCRP3000033	hsa_circRNA_100098
ASCRP3000034	hsa_circRNA_406086
ASCRP3000035	hsa_circRNA_061825
ASCRP3000036	hsa_circRNA_104215
ASCRP3000037	hsa_circRNA_401118
ASCRP3000038	hsa_circRNA_092547
ASCRP3000039	hsa_circRNA_101560
ASCRP3000040	hsa_circRNA_102799
ASCRP3000041	hsa_circRNA_004103
ASCRP3000042	hsa_circRNA_000566
ASCRP3000043	hsa_circRNA_407110
ASCRP3000044	hsa_circRNA_006759
ASCRP3000045	hsa_circRNA_000052
ASCRP3000046	hsa_circRNA_404732
ASCRP3000047	hsa_circRNA_004767
ASCRP3000048	hsa_circRNA_101633
ASCRP3000049	hsa_circRNA_101915
ASCRP3000050	hsa_circRNA_405400
ASCRP3000051	hsa_circRNA_102445
ASCRP3000052	hsa_circRNA_002518
ASCRP3000053	hsa_circRNA_102323
ASCRP3000054	hsa_circRNA_015839
ASCRP3000055	hsa_circRNA_402980
ASCRP3000056	hsa_circRNA_402979
ASCRP3000057	hsa_circRNA_068767
ASCRP3000058	hsa_circRNA_007263
ASCRP3000059	hsa_circRNA_102820
ASCRP3000060	hsa_circRNA_405348
ASCRP3000061	hsa_circRNA_016363
ASCRP3000062	hsa_circRNA_092482
ASCRP3000063	hsa_circRNA_000572
ASCRP3000064	hsa_circRNA_087119
ASCRP3000065	hsa_circRNA_068784
ASCRP3000066	hsa_circRNA_088439
ASCRP3000067	hsa_circRNA_105045
ASCRP3000068	hsa_circRNA_060539
ASCRP3000069	hsa_circRNA_000829
ASCRP3000070	hsa_circRNA_405678
ASCRP3000071	hsa_circRNA_405869
ASCRP3000072	hsa_circRNA_407150
ASCRP3000073	hsa_circRNA_402810
ASCRP3000074	hsa_circRNA_068655
ASCRP3000075	hsa_circRNA_400196
ASCRP3000076	hsa_circRNA_006131
ASCRP3000077	hsa_circRNA_404245
ASCRP3000078	hsa_circRNA_006116
ASCRP3000079	hsa_circRNA_406648
ASCRP3000080	hsa_circRNA_001520
ASCRP3000081	hsa_circRNA_103519
ASCRP3000082	hsa_circRNA_103384
ASCRP3000083	hsa_circRNA_102642
ASCRP3000084	hsa_circRNA_405561
ASCRP3000085	hsa_circRNA_047834
ASCRP3000086	hsa_circRNA_406838
ASCRP3000087	hsa_circRNA_405727
ASCRP3000088	hsa_circRNA_031775
ASCRP3000089	hsa_circRNA_017697
ASCRP3000090	hsa_circRNA_403034
ASCRP3000091	hsa_circRNA_004520
ASCRP3000092	hsa_circRNA_003986
ASCRP3000093	hsa_circRNA_100137
ASCRP3000094	hsa_circRNA_101014
ASCRP3000095	hsa_circRNA_102356
ASCRP3000096	hsa_circRNA_011933
ASCRP3000097	hsa_circRNA_403832
ASCRP3000098	hsa_circRNA_000546
ASCRP3000099	hsa_circRNA_047135
ASCRP3000100	hsa_circRNA_406973
ASCRP3000101	hsa_circRNA_104979
ASCRP3000102	hsa_circRNA_006063
ASCRP3000103	hsa_circRNA_104496
ASCRP3000104	hsa_circRNA_101080
ASCRP3000105	hsa_circRNA_008091
