TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-02-2016 12:41:49	5	5	31057db1-0bb0-4000-915e-7d47dd7406c4	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_1		F:\2016.02.02 Human circ 1-color 8x15k(xuming,zhaoqiyi,jiyuqiang,lixinzhong,fuyurong,lizhengmao,yangxiangling)\\US10450393_S01.tif	US10450393_S01	cd4a01c8-fe73-41cd-9de0-ac1bb916566d	074301_D_F_20150519.xml	02-Feb-2016 13:59:18	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.72728	7.72728	1.79386	0	778218	1.49131	3.84704	0.387652	0	13.5714	21.2987	1.34082	15287	21.2987	1.34082	15287	15	61	1	316	7.72728	864.407	6260.14	15527	0.0961354	0.00640902	0.39095	2.02525	0.0995553	891	689	1.79932	3.31607	1.02607	7.83375	64.5501	0	15261	91.8084	50.9915	5.7535	0	155.003	77.7082	55.1908	7.5024	2.53075	76	52.3314	3.24913	-4.46262	2.87689	0.352945	1.63488	0.0719306	326	3.31607	15603	4.38507	7.61959	0.768675	1.13772	15305	0	0.0520833	0.0307798	1.00067	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	34.8	21.0879	4.66893	7.07209	1151.88	87.4563	61.0313	21.7062	1.95411	2.32612	0	1	15	13762	105.497	1	ExtractionEvaluate	10463	20 Bit	0	353	987.674	0	1	9.39395	1	1	0.0961354	1	52.3314	0	-4.46262	1	2.87689	1	3.31607	1	4.66893	1	7.07209	1	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	410.62	2656.37	9.344242e+004	9.344243e+003	97790	22	5.752832e+000	0	0	0	0	0	0	98000.4	1	1	56.9804	22.0635
DATA	2	1	2	66	1	DarkCorner	DarkCorner	436.333	2656.5	4.152660e+000	3.192342e+000	62	21	5.440947e+000	0	0	0	0	0	0	4.35058	1	0	65	21.2189
DATA	3	1	3	66	1	DarkCorner	DarkCorner	461.5	2656.5	3.522424e+000	3.187044e+000	60.5	21	5.423494e+000	0	0	0	0	0	0	3.68762	1	0	57.5363	21.055
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	487.036	2656.55	3.513101e+001	4.731235e+000	92	21	5.366627e+000	0	0	0	0	0	0	36.7612	1	1	51.0895	21.2368
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	512.5	2656.5	7.079004e+000	3.247735e+000	67	21	4.950449e+000	0	0	0	0	0	0	7.40603	1	0	57.5363	21.435
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	537.987	2656.45	5.241632e+002	5.251206e+001	596	20	4.930023e+000	0	0	0	0	0	0	548.401	1	1	49.1849	20.284
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	563.368	2655.72	1.259277e+001	3.409316e+000	71	20.5	5.004999e+000	0	0	0	0	0	0	13.1804	1	0	46.5243	20.6511
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	588.685	2656.48	2.398177e+001	3.972818e+000	81	21	5.553953e+000	0	0	0	0	0	0	25.1079	1	1	48.5334	21.2466
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	613.853	2656.16	1.421020e+001	3.469496e+000	70	20	5.525726e+000	0	0	0	0	0	0	14.8878	1	0	48.2044	20.9434
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	639.342	2656.7	4.604294e+001	5.586052e+000	102	20	5.244372e+000	0	0	0	0	0	0	48.2715	1	1	48.2044	20.3426
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	664.475	2656	1.130617e+001	3.355739e+000	70	21	5.446846e+000	0	0	0	0	0	0	11.8663	1	0	43.7019	21.1031
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	690.333	2656.5	2.751479e+001	4.187307e+000	89	21	5.428611e+000	0	0	0	0	0	0	28.9066	1	1	57.5363	21.0699
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	715.667	2655.96	3.545610e+001	4.744269e+000	97.5	21	5.380650e+000	0	0	0	0	0	0	37.2987	1	1	49.1849	20.9981
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	740.877	2656.63	3.127961e+001	4.438250e+000	91	20	5.001453e+000	0	0	0	0	0	0	32.943	1	1	48.5334	20.6996
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	766.206	2655.91	1.896052e+001	3.671297e+000	79.5	21	5.529788e+000	0	0	0	0	0	0	19.9996	1	1	46.5243	21.3573
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	791.76	2656.63	1.671685e+001	3.556942e+000	76	21.5	5.451817e+000	0	0	0	0	0	0	17.6563	1	1	49.1849	21.7154
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	817.172	2656.33	1.077204e+002	1.121886e+001	169	21	5.249217e+000	0	0	0	0	0	0	113.955	1	1	52.3208	21.1588
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	842.551	2656.65	1.275719e+002	1.313554e+001	191	21	5.326331e+000	0	0	0	0	0	0	135.158	1	1	49.8279	21.3672
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	868.053	2656.04	9.158871e+001	9.677165e+000	154.5	20	5.266408e+000	0	0	0	0	0	0	97.2038	1	1	46.8651	21.1823
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	893.5	2656.5	5.158840e+001	6.028800e+000	114	21	5.684697e+000	0	0	0	0	0	0	54.835	1	1	57.5363	20.9961
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	918.667	2656.5	1.936030e+001	3.667380e+000	78.5	21	5.064007e+000	0	0	0	0	0	0	20.6119	1	1	57.5363	20.9485
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	944.125	2656.76	1.936935e+001	3.663704e+000	79.5	20	5.095852e+000	0	0	0	0	0	0	20.654	1	1	47.8731	20.9438
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	969.21	2656.56	3.156145e+000	3.104781e+000	58	21	5.112203e+000	0	0	0	0	0	0	-1.51383	0	0	51.0895	21.3129
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	994.926	2657.12	5.402186e+001	6.228541e+000	118.5	21	4.951016e+000	0	0	0	0	0	0	57.7839	1	1	46.8651	20.9152
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	1020.31	2656.34	2.199063e+001	3.796686e+000	86	22	4.993103e+000	0	0	0	0	0	0	23.5615	1	1	48.5334	21.4603
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	1045.64	2656.89	1.057390e+001	3.266626e+000	73.5	21	5.420502e+000	0	0	0	0	0	0	11.3447	1	0	49.1849	21.5605
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	1071.33	2656.5	1.210922e+001	3.315191e+000	74.5	21	5.340751e+000	0	0	0	0	0	0	13.0115	1	0	65	21.1871
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	1096.5	2656.5	2.883376e+001	4.220525e+000	92	21	5.520702e+000	0	0	0	0	0	0	31.0232	1	1	57.5363	21.7243
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	1121.64	2656.2	1.003262e+001	3.237438e+000	73	21.5	5.608012e+000	0	0	0	0	0	0	10.8084	1	0	45.4864	21.7827
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	1147.34	2656.79	1.678315e+001	3.502989e+000	80	21	5.316562e+000	0	0	0	0	0	0	18.1003	1	1	49.5074	21.1673
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	1172.58	2656.57	6.344596e+001	7.048943e+000	130.5	21	4.498996e+000	0	0	0	0	0	0	68.4995	1	1	57.5363	20.7229
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	1197.93	2656.73	6.765869e+000	3.142323e+000	69	21	5.031522e+000	0	0	0	0	0	0	7.31147	1	0	48.2044	21.2964
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	1224.06	2656.5	2.193210e+002	2.214536e+001	258	21	5.134109e+000	0	0	0	0	0	0	237.215	1	1	41.4593	21.4291
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	1248.82	2656.57	2.016264e+003	2.016497e+002	2206	22	5.206565e+000	0	0	0	0	0	0	2182.21	1	1	47.8731	21.8767
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	1274.42	2656.57	1.293015e+001	3.323992e+000	75.5	20	5.036479e+000	0	0	0	0	0	0	14.0022	1	0	57.5363	20.7515
