TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-02-2016 12:41:49	5	5	31057db1-0bb0-4000-915e-7d47dd7406c4	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_2		F:\2016.02.02 Human circ 1-color 8x15k(xuming,zhaoqiyi,jiyuqiang,lixinzhong,fuyurong,lizhengmao,yangxiangling)\\US10450393_S01.tif	US10450393_S01	cd4a01c8-fe73-41cd-9de0-ac1bb916566d	074301_D_F_20150519.xml	02-Feb-2016 13:59:18	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.72728	7.72728	1.79386	0	778218	1.40379	4.01049	0.350031	0	13.0841	20.8114	1.18258	15396	20.8114	1.18258	15396	1	71	7	207	7.72728	398.316	3028.6	15531	0.00640902	0.0448632	0.455041	1.32667	0.00663702	936	759	1.41247	2.49706	1.00177	3.15891	63.3853	0	5166.78	79.4473	50.6667	7.03928	0	104.679	74.2415	55.179	6.39924	1.79978	77	52.8725	2.81972	-2.78604	2.34829	0.313401	1.33506	0.0618326	138	2.49706	15603	4.38507	7.61959	0.65064	1.20413	15450	0	0.0243902	0.0347879	1.00053	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	23.7625	20.0281	6.01903	6.24136	1168.06	81.0219	60.3	22.9223	1.94975	2.33976	0	1	1	13762	64.8416	1	ExtractionEvaluate	10310	20 Bit	0	353	987.674	0	1	6.61807	1	1	0.00640902	1	52.8725	0	-2.78604	1	2.34829	1	2.49706	1	6.01903	1	6.24136	1	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	3585.59	2657.34	5.087911e+004	5.087911e+003	57783	22	5.400171e+000	0	0	0	0	0	0	57452.7	1	1	55.8519	22.4831
DATA	2	1	2	66	1	DarkCorner	DarkCorner	3611.42	2657.43	2.267181e+000	2.232027e+000	63	21	5.100287e+000	0	0	0	0	0	0	0.724103	0	0	57.5363	21.2641
DATA	3	1	3	66	1	DarkCorner	DarkCorner	3636.36	2656.96	2.284190e+000	2.248358e+000	62.5	21	5.076831e+000	0	0	0	0	0	0	0.542509	0	0	49.1849	21.4381
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	3662.19	2656.72	3.395690e+001	4.081014e+000	95	20	4.720926e+000	0	0	0	0	0	0	37.4588	1	1	47.8731	20.6149
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	3687.5	2657.35	6.882474e+000	2.379940e+000	70.5	21	5.467139e+000	0	0	0	0	0	0	7.54348	1	0	57.5363	21.411
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	3712.78	2656.93	4.688113e+002	4.693703e+001	570	21	5.670282e+000	0	0	0	0	0	0	511.149	1	1	49.8279	21.0897
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	3738.34	2657.06	1.229581e+001	2.609198e+000	76	21	5.446460e+000	0	0	0	0	0	0	13.3417	1	1	47.2035	21.1176
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	3763.63	2656.87	2.516099e+001	3.416025e+000	91	20	5.391637e+000	0	0	0	0	0	0	27.1925	1	1	47.5395	20.9063
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	3789.04	2657.09	6.794138e+000	2.416212e+000	70	20	4.690049e+000	0	0	0	0	0	0	7.31669	1	0	46.8651	20.354
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	3814.38	2656.99	3.390193e+001	4.111009e+000	98	20	4.906766e+000	0	0	0	0	0	0	36.4062	1	1	48.2044	20.3535
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	3839.88	2657.09	1.370042e+001	2.703672e+000	76	20	5.133964e+000	0	0	0	0	0	0	14.6774	1	1	47.5395	20.556
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	3865	2656.79	1.592774e+001	2.826325e+000	78	21	5.109059e+000	0	0	0	0	0	0	17.0348	1	1	46.8651	20.9221
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	3890.57	2657.11	3.265463e+001	4.016303e+000	100	20	4.797181e+000	0	0	0	0	0	0	34.8724	1	1	48.8603	20.5409
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	3915.86	2656.8	1.199936e+001	2.629833e+000	75	20	5.231970e+000	0	0	0	0	0	0	12.8041	1	1	46.8651	20.8166
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	3941.5	2657	1.509080e+001	2.785684e+000	78	20	4.988582e+000	0	0	0	0	0	0	16.0932	1	1	54.1152	20.3162
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	3966.72	2656.91	1.253385e+001	2.656108e+000	76.5	20	4.991378e+000	0	0	0	0	0	0	13.365	1	1	48.8603	20.4233
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	3992.19	2657	7.716884e+001	8.064277e+000	146	21	5.436733e+000	0	0	0	0	0	0	82.2983	1	1	49.1849	21.1638
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	4017.59	2656.85	6.737394e+001	7.132233e+000	135	20	5.602195e+000	0	0	0	0	0	0	71.8917	1	1	48.5334	21.0441
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	4042.88	2657.09	4.892425e+001	5.422612e+000	113.5	21	5.633980e+000	0	0	0	0	0	0	52.24	1	1	47.5395	21.7446
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	4068.28	2656.89	3.049220e+001	3.841197e+000	96	21	5.335186e+000	0	0	0	0	0	0	32.5941	1	1	48.8603	21.0769
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	4093.55	2657.14	1.909302e+001	3.014991e+000	82	21	5.595753e+000	0	0	0	0	0	0	20.4322	1	1	49.1849	21.6158
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	4119.04	2656.93	1.350992e+001	2.693251e+000	79	21	5.438532e+000	0	0	0	0	0	0	14.4792	1	1	46.8651	21.6124
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	4144.56	2657.03	2.363918e+000	2.326385e+000	64	21	4.991638e+000	0	0	0	1	0	0	0.229397	0	0	48.5334	21.1055
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	4169.73	2656.75	2.912666e+001	3.725017e+000	93	21	4.924025e+000	0	0	0	0	0	0	31.3213	1	1	47.2035	20.8895
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	4195.36	2657.12	2.829116e+001	3.657533e+000	93	21	5.112199e+000	0	0	0	0	0	0	30.4751	1	1	46.5243	21.3467
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	4220.8	2656.78	6.136345e+000	2.393382e+000	70	22	5.438151e+000	0	0	0	0	0	0	6.62356	1	0	47.8731	21.9699
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	4246.42	2657.07	1.115099e+001	2.564139e+000	74	21	5.256181e+000	0	0	0	0	0	0	12.0593	1	0	48.2044	20.7864
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	4271.67	2656.79	3.516639e+001	4.204222e+000	104	20	4.781815e+000	0	0	0	0	0	0	38.112	1	1	47.2035	20.3078
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	4296.87	2657.13	2.763394e+000	2.316178e+000	67	20	4.784829e+000	0	0	0	0	0	0	3.00063	1	0	46.8651	20.0062
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	4322.43	2656.49	1.610120e+001	2.802932e+000	81	20	4.864135e+000	0	0	0	0	0	0	17.5239	1	1	49.1849	20.6174
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	4347.66	2657.38	4.459216e+001	5.013017e+000	112	20	5.292924e+000	0	0	0	0	0	0	48.6166	1	1	47.5395	20.3194
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	4373.06	2656.47	6.317972e+000	2.370702e+000	70	19	4.667724e+000	0	0	0	0	0	0	6.90443	1	0	49.5074	19.6811
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	4398.5	2656.65	1.060109e+002	1.084362e+001	170	20	5.406810e+000	0	0	0	0	0	0	116.075	1	1	57.5363	20.8611
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	4423.5	2656.5	3.553012e+002	3.560295e+001	455	21	5.443560e+000	0	0	0	0	0	0	389.791	1	1	46.5243	21.1635
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	4449.46	2657.06	7.885454e+000	2.405192e+000	71.5	20	5.372198e+000	0	0	0	0	0	0	8.6656	1	0	49.8279	21.0179
