TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-04-2016 13:48:02	5	5	c19ba24b-c1d7-4d38-8428-22822d882a7d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_3		F:\2016.02.04 Human circ 1-color 8x15k(ouyangqingqing,yangliu,wangfei,jiyuqiang,linzhaoyu,xuming)\\US10450393_S01.tif	US10450393_S01	b629fdab-887f-4118-a782-34be10350407	074301_D_F_20150519.xml	04-Feb-2016 14:06:39	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.54502	7.54502	1.83811	0	778083	1.43126	1.9145	0.74759	0	13.2012	20.7462	1.32839	15423	20.7462	1.32839	15423	4	52	0	180	7.54502	511.919	3745.64	15547	0.0256361	0	0.333269	1.15362	0.0265481	1201	1027	1.43591	1.57485	1.00202	2.57513	34.3334	0	9591.85	42.3925	23.5026	6.78647	0	68.5175	32.6969	24.4237	10.2685	2.40134	75	25.2634	2.12269	-1.47355	1.45983	0.206755	1.25963	0.0784838	344	1.57485	15603	4.34276	7.61918	1.02818	0.886536	15195	0	0.0487805	0.0264599	0.998766	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	15.6163	5.49547	6.33903	10.1322	626.984	44.4697	60	22.4644	1.94769	2.30264	0	1	4	13762	51.7481	1	ExtractionEvaluate	10007	20 Bit	0	355	967.284	0	0	3.9839	1	1	0.0256361	1	25.2634	1	-1.47355	1	1.45983	1	1.57485	1	6.33903	1	10.1322	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6739.84	235.542	4.468318e+004	4.468319e+003	41499	19	5.238827e+000	0	0	0	0	0	0	41508.6	1	1	55.8519	19.3803
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6765.42	235.427	1.727784e+000	1.699751e+000	33	19	5.309765e+000	0	0	0	0	0	0	0.441708	0	0	57.5363	18.975
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6791.09	235.494	1.730754e+000	1.709486e+000	34	18	4.968962e+000	0	0	0	0	0	0	1.47831	0	0	49.8279	18.6725
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	6815.93	235.506	3.212016e+001	3.636114e+000	61	18	4.961493e+000	0	0	0	0	0	0	29.6823	1	1	52.0157	18.5147
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	6841.62	235.36	3.409253e+000	1.739641e+000	35	18	4.898760e+000	0	0	0	0	0	0	3.14733	1	0	52.6241	18.0777
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	6866.75	235.373	2.345087e+002	2.351290e+001	249	19	4.656682e+000	0	0	0	0	0	0	216.374	1	1	51.0895	18.5781
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	6892.53	235.571	8.662979e+000	1.914300e+000	40	19	4.997103e+000	0	0	0	0	0	0	7.99201	1	1	49.8279	18.8685
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	6917	234.732	1.870035e+001	2.532250e+000	47	18	4.771118e+000	0	0	0	0	0	0	17.2484	1	1	36.1258	18.6197
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	6943.29	235.563	4.135587e+000	1.755507e+000	36.5	18	4.933357e+000	0	0	0	0	0	0	3.81743	1	0	50.7771	18.4644
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	6968.66	235.368	1.216351e+001	2.094371e+000	45	19	5.018231e+000	0	0	0	0	0	0	11.2353	1	1	48.8603	19.2931
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	6993.67	235.5	3.117875e+000	1.731475e+000	35	19	5.130083e+000	0	0	0	0	0	0	2.88296	1	0	65	19.1139
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	7019.44	235.247	1.407306e+001	2.207776e+000	43.5	19	4.678067e+000	0	0	0	0	0	0	13.0285	1	1	49.5074	18.9392
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	7044.61	235.065	6.518700e+000	1.819420e+000	38	18	4.961096e+000	0	0	0	0	0	0	6.04366	1	0	44.0646	18.3532
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	7070.21	235.816	8.079544e+000	1.877931e+000	40.5	18	5.067644e+000	0	0	0	0	0	0	7.50576	1	0	48.8603	18.4636
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	7095.86	235.284	5.980918e+000	1.794740e+000	37.5	18	4.777520e+000	0	0	0	0	0	0	5.56631	1	0	48.5334	17.9586
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	7120.76	235.389	3.558555e+000	1.725613e+000	37	19	5.006644e+000	0	0	0	0	0	0	3.31899	1	0	48.2044	18.9308
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	7146.38	235.716	6.726950e+001	6.934627e+000	98	19	4.778366e+000	0	0	0	0	0	0	62.8944	1	1	48.5334	18.7218
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	7171.44	235.62	3.915598e+001	4.260906e+000	70	18	4.976853e+000	0	0	0	0	0	0	36.6986	1	1	47.8731	18.3755
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	7196.59	235.61	2.998210e+001	3.434815e+000	61	18	5.046686e+000	0	0	0	0	0	0	28.174	1	1	51.4001	18.4741
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	7222.42	235.573	1.724729e+001	2.401588e+000	49	19	4.902338e+000	0	0	0	0	0	0	16.2528	1	1	65	19.0724
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	7247.58	235.573	4.378672e+000	1.722991e+000	38	18	4.989870e+000	0	0	0	0	0	0	4.13805	1	0	57.5363	18.7856
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	7273.69	235.656	8.652616e+000	1.873097e+000	42	20	5.164552e+000	0	0	0	0	0	0	8.2025	1	1	44.4243	19.6434
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	7298.43	235.416	1.684346e+000	1.656367e+000	32	18	5.237869e+000	0	0	0	0	0	0	-1.14513	0	0	49.8279	18.9225
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	7324.21	235.795	4.640505e+001	4.925432e+000	77	18	4.935542e+000	0	0	0	0	0	0	44.2663	1	1	48.2044	18.3666
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	7349.89	235.5	1.580945e+001	2.282013e+000	50	19	5.376267e+000	0	0	0	0	0	0	15.1292	1	1	50.4627	19.083
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	7374.79	235.615	4.464840e+000	1.700034e+000	40	20	5.300448e+000	0	0	0	0	0	0	4.28654	1	0	50.1463	19.8318
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	7400.11	235.5	7.918160e+000	1.816639e+000	42	19	5.194669e+000	0	0	0	0	0	0	7.62688	1	0	56.9804	19.624
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	7425.5	235.5	1.449275e+001	2.180797e+000	46	18	4.716468e+000	0	0	0	0	0	0	14.0061	1	1	65	18.4601
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	7451.05	235.432	5.294545e+000	1.708237e+000	39	19	5.231592e+000	0	0	0	0	0	0	5.13394	1	0	48.8603	19.2971
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	7476.32	235.645	5.658407e+000	1.714735e+000	40	20	5.334948e+000	0	0	0	0	0	0	5.50517	1	0	49.1849	20.1162
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	7501.85	235.417	2.981812e+001	3.390289e+000	64	18	5.287617e+000	0	0	0	0	0	0	29.1067	1	1	47.8731	18.9605
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	7527.11	235.5	7.828774e+000	1.788486e+000	44	19	4.782361e+000	0	0	0	0	0	0	7.66719	1	0	56.9804	18.9367
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	7552	235.3	8.895786e+001	9.039050e+000	115.5	19	4.884969e+000	0	0	0	0	0	0	87.3987	1	1	39.0882	19.5693
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	7578	235.682	1.011109e+003	1.011235e+002	1035	19	4.962096e+000	0	0	0	0	0	0	996.707	1	1	53.5237	19.4789
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	7603.65	235.803	2.715110e+000	1.615481e+000	37	20	5.322588e+000	0	0	0	0	0	0	2.68501	1	0	45.4864	20.277
