TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-04-2016 13:48:02	5	5	c19ba24b-c1d7-4d38-8428-22822d882a7d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_4		F:\2016.02.04 Human circ 1-color 8x15k(ouyangqingqing,yangliu,wangfei,jiyuqiang,linzhaoyu,xuming)\\US10450393_S01.tif	US10450393_S01	b629fdab-887f-4118-a782-34be10350407	074301_D_F_20150519.xml	04-Feb-2016 14:06:39	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.54502	7.54502	1.83811	0	778083	1.36744	2.08456	0.655986	0	12.6181	20.1631	1.21813	15427	20.1631	1.21813	15427	1	42	1	176	7.54502	498.669	3653.9	15560	0.00640902	0.00640902	0.269179	1.12799	0.00663702	1750	1525	1.41747	1.81455	1.00032	2.99725	35.8663	0	9531.35	42.1065	24.4227	9.20881	0	67.6647	32.7519	25.5644	-1	2.19011	72	25.8594	1.7614	-2.42627	1.41005	0.19163	1.2213	0.092094	325	1.81455	15603	4.34276	7.61918	0.816505	0.904318	15263	0	0.0487805	0.063851	0.997984	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	13.684	4.44788	7.21641	-1	646.349	46.4822	57.7	20.6621	1.94706	2.31845	0	1	1	13762	48.008	1	ExtractionEvaluate	8956	20 Bit	0	355	967.284	0	0	5.08989	1	1	0.00640902	1	25.8594	1	-2.42627	1	1.41005	1	1.81455	1	7.21641	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9914.57	236.688	4.279402e+004	4.279403e+003	39674	19	5.453062e+000	0	0	0	0	0	0	39665.6	1	1	57.259	19.9916
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9940	236.545	3.690624e+000	2.002972e+000	36	19	5.097777e+000	0	0	0	0	0	0	3.40169	1	0	65	19.3
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9966.32	236.577	2.014772e+000	1.986609e+000	35	19	5.301020e+000	0	0	0	0	0	0	1.57934	0	0	47.8731	19.4226
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	9991.05	236.72	3.000445e+001	3.599323e+000	61	19	4.882216e+000	0	0	0	0	0	0	27.3855	1	1	50.7771	19.2306
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	10016.6	236.667	4.130200e+000	2.038847e+000	38	19	5.123312e+000	0	0	0	0	0	0	3.75366	1	0	48.2044	19.367
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	10041.9	236.644	2.430170e+002	2.438420e+001	254.5	19	5.245281e+000	0	0	0	0	0	0	220.029	1	1	48.5334	19.3167
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	10067.3	236.633	1.065187e+001	2.275606e+000	44	19	5.097334e+000	0	0	0	0	0	0	9.61174	1	1	50.4627	19.3301
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	10092.6	236.473	1.193450e+001	2.343571e+000	43	20	5.085760e+000	0	0	0	0	0	0	10.737	1	1	49.1849	19.6381
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	10118.5	236.269	3.421165e+000	2.051026e+000	38	19	5.311161e+000	0	0	0	0	0	0	3.06972	1	0	40.6843	19.2772
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	10143.4	236.573	1.706066e+001	2.648998e+000	49	19	5.626245e+000	0	0	0	0	0	0	15.2766	1	1	57.5363	19.9516
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	10168.6	236.573	7.988302e+000	2.181569e+000	42	20	5.294584e+000	0	0	0	0	0	0	7.1403	1	0	57.5363	20.4054
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	10194.3	236.878	1.477962e+001	2.513307e+000	48	19	5.207893e+000	0	0	0	0	0	0	13.1927	1	1	50.7771	19.4626
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	10219.7	236.833	6.448400e+000	2.134703e+000	39	19	5.086825e+000	0	0	0	0	0	0	5.74991	1	0	49.8279	19.6738
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	10244.7	236.841	1.231316e+001	2.379705e+000	45.5	19	5.272182e+000	0	0	0	0	0	0	10.9718	1	1	50.7771	19.7797
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	10270.3	236.74	3.552230e+000	2.067920e+000	38	20	5.024755e+000	0	0	0	0	0	0	3.16403	1	0	49.5074	19.8527
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	10295.6	236.727	6.708274e+000	2.144863e+000	39	20	5.584536e+000	0	0	0	0	0	0	5.97494	1	0	46.1809	20.5377
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	10321.3	236.766	5.652448e+001	6.008171e+000	86	20	5.540824e+000	0	0	0	0	0	0	50.3604	1	1	49.8279	20.6319
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	10346.4	236.792	3.992710e+001	4.481603e+000	68.5	19	5.683437e+000	0	0	0	0	0	0	35.5941	1	1	49.8279	19.7481
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	10371.9	236.587	3.770222e+001	4.283776e+000	68	20	5.540002e+000	0	0	0	0	0	0	33.6385	1	1	48.8603	20.0935
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	10397.4	236.573	1.860969e+001	2.754937e+000	51.5	20	5.372886e+000	0	0	0	0	0	0	16.6234	1	1	65	20.3092
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	10422.6	236.573	6.866412e+000	2.141536e+000	40	19	5.388758e+000	0	0	0	0	0	0	6.14228	1	0	65	19.6571
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	10448	236.545	1.126997e+001	2.317521e+000	43	19	4.965941e+000	0	0	0	0	0	0	10.0985	1	1	55.8519	19.3507
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	10473.6	236.565	2.175900e+000	2.032729e+000	37	20	5.047511e+000	0	0	0	0	0	0	1.95358	1	0	47.5395	20.1534
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	10499.1	236.611	4.697031e+001	5.111631e+000	77	20	5.414597e+000	0	0	0	0	0	0	42.2642	1	1	48.2044	20.2538
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	10524.4	236.206	1.889636e+001	2.760234e+000	50	20	5.135608e+000	0	0	0	0	0	0	17.0419	1	1	46.5243	19.733
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	10549.9	236.418	6.385205e+000	2.105736e+000	40	19	4.816270e+000	0	0	0	0	0	0	5.7741	1	0	46.1809	18.9514
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	10575	236.545	9.660803e+000	2.221946e+000	41.5	19	5.052938e+000	0	0	0	0	0	0	8.76092	1	0	65	19.5125
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	10600.4	236.573	1.485612e+001	2.487315e+000	48	20	5.566167e+000	0	0	0	0	0	0	13.5129	1	1	57.5363	20.0282
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	10626.4	236.439	2.513885e+000	2.004357e+000	35	20	5.090971e+000	0	0	0	0	0	0	2.29394	1	0	45.4864	19.8882
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	10651.1	236.618	3.879586e+000	2.019593e+000	38	19	4.989160e+000	0	0	0	0	0	0	3.55186	1	0	49.8279	19.7558
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	10676.7	236.299	1.436319e+001	2.442264e+000	49	19	5.228749e+000	0	0	0	0	0	0	13.1946	1	1	45.835	19.4294
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	10702	236.821	1.331732e+001	2.376113e+000	47	19	5.070590e+000	0	0	0	0	0	0	12.2799	1	1	46.1809	19.6169
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	10727.6	236.443	7.390459e+001	7.646128e+000	97	19	5.363623e+000	0	0	0	0	0	0	68.3954	1	1	47.5395	19.5333
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	10752.8	236.797	9.866273e+002	9.868206e+001	950	19	5.469548e+000	0	0	0	0	0	0	916.65	1	1	45.1352	19.9848
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	10778.4	236.672	5.813165e+000	2.030448e+000	38	20	5.404422e+000	0	0	0	0	0	0	5.42202	1	0	45.835	20.1732
