TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-02-2016 12:41:49	5	5	31057db1-0bb0-4000-915e-7d47dd7406c4	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_3		F:\2016.02.02 Human circ 1-color 8x15k(xuming,zhaoqiyi,jiyuqiang,lixinzhong,fuyurong,lizhengmao,yangxiangling)\\US10450393_S01.tif	US10450393_S01	cd4a01c8-fe73-41cd-9de0-ac1bb916566d	074301_D_F_20150519.xml	02-Feb-2016 13:59:18	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.72728	7.72728	1.79386	0	778218	1.323	3.81863	0.346458	0	13.0507	20.778	1.19082	15385	20.778	1.19082	15385	1	71	0	218	7.72728	392.809	2359.33	15531	0.00640902	0	0.455041	1.39717	0.00663702	1695	1500	1.49092	2.96567	1.00103	5.59199	60.393	0	7063.29	71.4133	46.4881	6.72217	0	100.416	64.3485	53.2727	-1	1.38905	75	49.5594	2.35677	-3.10846	2.16784	0.323335	1.16619	0.0611607	187	2.96567	15603	4.38507	7.61959	0.611913	0.793532	15444	0	0.0182927	0.0292506	0.999875	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	18.6646	12.0604	5.55339	-1	1105.94	85.151	59.9091	20.2329	1.94793	2.34214	0	1	1	13762	57.1131	1	ExtractionEvaluate	8416	20 Bit	0	353	987.674	0	0	7.8322	1	1	0.00640902	1	49.5594	0	-3.10846	1	2.16784	1	2.96567	1	5.55339	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6760.5	2656.48	2.444684e+004	2.444685e+003	25195	22	5.586100e+000	0	0	0	0	0	0	25052.7	1	1	57.5363	22.3498
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6785.5	2656.5	2.950349e+000	2.901340e+000	58	21	5.259063e+000	0	0	0	0	0	0	-0.840743	0	0	57.5363	21.1456
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6811.04	2656.29	2.956873e+000	2.907755e+000	59	20	4.676531e+000	0	0	0	0	0	0	-0.449636	0	0	49.1849	20.3467
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	6836.44	2656.53	2.240081e+001	3.674448e+000	81	21	5.227736e+000	0	0	0	0	0	0	22.8085	1	1	50.4627	20.8298
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	6861.84	2656.59	4.720793e+000	2.954509e+000	63	21	5.396809e+000	0	0	0	0	0	0	4.8003	1	0	50.7771	21.0137
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	6887.27	2656.61	6.456500e+002	6.463097e+001	706	20	5.405778e+000	0	0	0	0	0	0	655.881	1	1	50.7771	20.6277
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	6912.62	2656.37	2.970752e+000	2.924445e+000	60.5	21	5.297780e+000	0	0	0	0	0	0	1.35356	0	0	50.7771	20.8538
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	6938.03	2656.72	1.999581e+001	3.540850e+000	79.5	21	4.980709e+000	0	0	0	0	0	0	20.2932	1	1	48.8603	21.0578
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	6963.49	2656.55	2.971777e+000	2.934672e+000	62	20	5.006109e+000	0	0	0	0	0	0	2.71935	0	0	50.1463	20.6839
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	6988.68	2656.51	2.965637e+001	4.163158e+000	90	20	4.984098e+000	0	0	0	0	0	0	30.1017	1	1	49.1849	20.5877
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	7014.53	2656.66	3.583303e+000	2.942262e+000	61	21	5.208073e+000	0	0	0	0	0	0	3.6389	1	0	49.8279	20.9688
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	7039.58	2656.74	1.177302e+001	3.146899e+000	70.5	20	5.348027e+000	0	0	0	0	0	0	11.9638	1	0	49.8279	20.7646
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	7065.08	2656.39	9.672674e+000	3.072187e+000	69	20	5.121345e+000	0	0	0	0	0	0	9.83762	1	0	49.1849	20.6731
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	7090.39	2656.55	1.302215e+001	3.190679e+000	73	20	5.312424e+000	0	0	0	0	0	0	13.2583	1	0	51.4001	20.5714
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	7115.74	2656.6	9.642921e+000	3.064980e+000	69	20	5.143761e+000	0	0	0	0	0	0	9.82963	1	0	51.0895	20.2647
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	7141.32	2656.6	8.547825e+000	3.028558e+000	69	20	5.231763e+000	0	0	0	0	0	0	8.72506	1	0	50.7771	20.547
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	7166.44	2656.53	4.908667e+001	5.701970e+000	109.5	19	5.033874e+000	0	0	0	0	0	0	50.176	1	1	50.4627	19.9261
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	7192.11	2656.5	4.140594e+001	5.053292e+000	103.5	20.5	4.955974e+000	0	0	0	0	0	0	42.3909	1	1	56.9804	20.6743
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	7217.2	2656.58	6.919612e+001	7.499686e+000	130.5	21	5.250858e+000	0	0	0	0	0	0	70.9563	1	1	49.1849	21.134
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	7242.65	2656.71	3.175019e+001	4.291466e+000	91	21	5.279022e+000	0	0	0	0	0	0	32.6131	1	1	50.7771	21.1115
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	7268.05	2656.67	7.911190e+000	2.988831e+000	69	20	5.179655e+000	0	0	0	0	0	0	8.14022	1	0	49.5074	20.8498
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	7293.5	2656.5	4.853938e+000	2.917855e+000	63	20	5.090138e+000	0	0	0	0	0	0	5.00319	1	0	57.5363	20.5797
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	7318.97	2656.36	2.920643e+000	2.872127e+000	56.5	20	4.924011e+000	0	0	0	0	0	0	-2.9107	0	0	49.1849	20.7247
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	7344.4	2656.71	5.611544e+001	6.301517e+000	117	20	4.673664e+000	0	0	0	0	0	0	58.0467	1	1	50.4627	20.5703
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	7369.68	2656.45	2.403885e+001	3.737649e+000	83.5	20	4.850233e+000	0	0	0	0	0	0	24.9091	1	1	50.1463	20.5363
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	7395.27	2656.66	2.905334e+000	2.857073e+000	60	21	5.169254e+000	0	0	0	0	0	0	-0.542895	0	0	50.4627	20.6532
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	7420.66	2656.45	4.438408e+000	2.886643e+000	63.5	21	5.230221e+000	0	0	0	0	0	0	4.61479	1	0	49.8279	21.0132
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	7446.11	2656.5	2.015810e+001	3.488952e+000	81	21	5.125797e+000	0	0	0	0	0	0	20.9933	1	1	56.9804	21.071
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	7471.31	2656.53	2.891316e+000	2.857052e+000	63	20	5.072035e+000	0	0	0	0	0	0	2.92169	0	0	50.1463	20.5621
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	7496.96	2656.67	1.304728e+001	3.124482e+000	74	20	4.992395e+000	0	0	0	0	0	0	13.6293	1	0	49.5074	20.2646
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	7522.44	2656.26	2.669625e+001	3.894195e+000	88.5	20	4.943159e+000	0	0	0	0	0	0	27.9256	1	1	49.5074	20.3633
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	7547.42	2656.86	2.879265e+000	2.831437e+000	59.5	20	4.827789e+000	0	0	0	0	0	0	-2.23114	0	0	50.1463	20.3366
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	7573.06	2656.46	2.853977e+001	4.017858e+000	92.5	20	4.878700e+000	0	0	0	0	0	0	29.9283	1	1	50.4627	20.1889
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	7598.06	2656.62	1.398481e+003	1.398766e+002	1541	20	4.980783e+000	0	0	0	0	0	0	1468.09	1	1	46.1809	20.2054
