TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-02-2016 12:41:49	5	5	31057db1-0bb0-4000-915e-7d47dd7406c4	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_4		F:\2016.02.02 Human circ 1-color 8x15k(xuming,zhaoqiyi,jiyuqiang,lixinzhong,fuyurong,lizhengmao,yangxiangling)\\US10450393_S01.tif	US10450393_S01	cd4a01c8-fe73-41cd-9de0-ac1bb916566d	074301_D_F_20150519.xml	02-Feb-2016 13:59:18	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.72728	7.72728	1.79386	0	778218	1.41679	3.91316	0.362058	0	13.0487	20.776	1.16927	15412	20.776	1.16927	15412	1	50	0	191	7.72728	420.493	2430.48	15552	0.00640902	0	0.320451	1.22412	0.00663702	1425	1236	2.31908	2.53548	1.00268	4.93526	61.5847	0	7575.27	73.4473	47.1598	6.37918	0	136.242	70.2886	52.8665	-1	1.45441	75	50.2948	2.88644	-3.49301	1.96707	0.344421	1.11357	0.0608665	192	2.53548	15603	4.38507	7.61959	0.726352	0.887757	15392	0	0.0243902	0.020686	0.999851	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	19.4249	17.8414	6.2879	-1	1120.95	83.0981	60	20.4814	1.94764	2.34059	0	1	1	13762	60.1233	1	ExtractionEvaluate	9223	20 Bit	0	353	987.674	0	1	7.2213	1	1	0.00640902	1	50.2948	0	-3.49301	1	1.96707	1	2.53548	1	6.2879	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9935.33	2656.72	2.659303e+004	2.659304e+003	26780	21	5.368740e+000	0	0	0	0	0	0	26749.4	1	1	56.1362	21.1203
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9960.58	2656.43	2.558336e+000	2.515838e+000	57	21	5.115523e+000	0	0	0	0	0	0	-1.82501	0	0	57.5363	20.9804
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9986.04	2656.55	2.553290e+000	2.510876e+000	56	20	5.012303e+000	0	0	0	0	0	0	-1.95994	0	0	50.4627	20.3004
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	10011.4	2656.26	1.724984e+002	1.743085e+001	232	20	5.201461e+000	0	0	0	0	0	0	174.564	1	1	49.1849	20.8008
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	10036.6	2656.43	6.938552e+000	2.594598e+000	68	20	4.958658e+000	0	0	0	0	0	0	7.03673	1	0	50.4627	20.5779
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	10062.1	2656.34	1.023188e+003	1.023492e+002	1092	20	4.794394e+000	0	0	0	0	0	0	1040.06	1	1	52.9257	20.0117
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	10087.6	2656.47	8.915473e+000	2.643439e+000	69.5	20	5.035095e+000	0	0	0	0	0	0	9.08357	1	0	49.8279	20.4386
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	10113	2655.85	1.959963e+001	3.162752e+000	78.5	21.5	5.592265e+000	0	0	0	0	0	0	20.0199	1	1	46.8651	21.3881
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	10138.6	2656.43	3.540178e+000	2.501618e+000	62.5	21	5.250096e+000	0	0	0	0	0	0	3.62457	1	0	50.4627	21.2402
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	10163.8	2656.36	1.944863e+001	3.144034e+000	79	20	5.006719e+000	0	0	0	0	0	0	19.9616	1	1	48.2044	20.0503
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	10189.3	2656.66	8.013104e+000	2.591310e+000	69	20	4.685302e+000	0	0	0	0	0	0	8.24454	1	0	49.8279	19.9063
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	10214.2	2656.18	1.975396e+001	3.153382e+000	80	20	4.911533e+000	0	0	0	0	0	0	20.3768	1	1	46.1809	20.3859
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	10239.9	2656.54	1.446171e+001	2.846662e+000	73	20	5.243918e+000	0	0	0	0	0	0	14.9543	1	1	50.4627	21.0363
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	10265.5	2656.16	1.416129e+001	2.825986e+000	73	20	5.259828e+000	0	0	0	0	0	0	14.682	1	1	49.8279	20.2011
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	10290.8	2656.57	8.067494e+000	2.569699e+000	66	20	5.573211e+000	0	0	0	0	0	0	8.38394	1	0	50.4627	20.7519
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	10316.2	2656.36	1.006562e+001	2.633626e+000	69	20	5.397680e+000	0	0	0	0	0	0	10.4866	1	0	49.1849	20.9505
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	10341.4	2656.4	7.264716e+001	7.659688e+000	135.5	20	5.149598e+000	0	0	0	0	0	0	75.866	1	1	50.7771	20.6395
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	10366.7	2656.31	3.181425e+001	3.998545e+000	92	20	5.068374e+000	0	0	0	0	0	0	33.3025	1	1	51.0895	20.7797
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	10392.3	2656.48	6.084805e+001	6.547137e+000	122	21	5.203434e+000	0	0	0	0	0	0	63.8402	1	1	49.8279	20.9595
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	10417.8	2656.32	4.561259e+001	5.159325e+000	109.5	21	5.360533e+000	0	0	0	0	0	0	47.9649	1	1	49.5074	21.558
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	10443.4	2656.43	1.639068e+001	2.911205e+000	72.5	20.5	5.345952e+000	0	0	0	0	0	0	17.2731	1	1	57.5363	21.1608
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	10468.7	2656.27	6.778767e+000	2.494743e+000	67.5	20	5.204283e+000	0	0	0	0	0	0	7.1588	1	0	49.8279	20.9843
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	10493.9	2656.41	2.436692e+000	2.396420e+000	61	20	4.860950e+000	0	0	0	0	0	0	0.33073	0	0	49.1849	20.6587
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	10519.2	2656.45	7.072917e+001	7.466348e+000	132	20	4.836970e+000	0	0	0	0	0	0	74.9814	1	1	50.7771	20.3378
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	10544.6	2656.47	2.401976e+001	3.386624e+000	86	20	5.423040e+000	0	0	0	0	0	0	25.5094	1	1	50.4627	20.7876
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	10570.2	2654.98	4.449459e+000	2.423665e+000	65	20	5.142837e+000	0	0	0	0	0	0	4.73521	1	0	36.5637	20.4847
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	10595.7	2656.61	5.841527e+000	2.450278e+000	66	21	5.137720e+000	0	0	0	0	0	0	6.22411	1	0	49.5074	21.4423
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	10621.1	2656.39	2.438990e+001	3.405021e+000	88	21	5.045661e+000	0	0	0	0	0	0	26.0267	1	1	57.259	21.2259
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	10646.4	2656.44	2.412967e+000	2.374398e+000	62	20	4.850285e+000	0	0	0	0	0	0	0.905893	0	0	49.8279	20.6492
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	10671.8	2656.16	1.792159e+001	2.971199e+000	82	20	5.567499e+000	0	0	0	0	0	0	19.1741	1	1	50.1463	20.8577
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	10696.9	2656.39	3.471204e+001	4.201667e+000	97.5	21	5.259021e+000	0	0	0	0	0	0	37.1759	1	1	48.8603	21.1492
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	10722.1	2656.27	2.405085e+000	2.365134e+000	55	21	5.247123e+000	0	0	0	0	0	0	-4.76592	0	0	45.835	20.7771
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	10747.6	2656.33	5.909509e+001	6.364529e+000	120	21	5.202782e+000	0	0	0	0	0	0	63.4018	1	1	47.5395	21.0884
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	10773	2655.89	1.446149e+003	1.446341e+002	1604.5	20	5.406565e+000	0	0	0	0	0	0	1552.74	1	1	51.4001	21.0935
