TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-04-2016 13:48:02	5	5	c19ba24b-c1d7-4d38-8428-22822d882a7d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_1		F:\2016.02.04 Human circ 1-color 8x15k(ouyangqingqing,yangliu,wangfei,jiyuqiang,linzhaoyu,xuming)\\US10450393_S01.tif	US10450393_S01	b629fdab-887f-4118-a782-34be10350407	074301_D_F_20150519.xml	04-Feb-2016 14:06:39	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.54502	7.54502	1.83811	0	778083	1.22066	1.95895	0.62312	0	14.6924	22.2375	1.58676	15360	22.2375	1.58676	15360	2	100	0	243	7.54502	374.127	2529.05	15502	0.012818	0	0.640902	1.55739	0.013274	2974	2700	5.14968	3.18448	1.02901	6.31066	40.7468	0	6632.05	47.7831	24.1435	7.38282	0	69.33	38.655	24.8042	-1	1.73206	74	28.4386	5.08611	-4.2888	2.92996	0.221944	0.984362	0.0738665	268	3.18448	15603	4.34276	7.61918	1.44467	0.952104	15223	0	0.0416667	0.0451791	0.999067	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	13.776	4.93542	5.43363	-1	649.333	51.3358	63.8416	24.2305	1.94432	2.28245	0	1	1	13762	48.6156	1	ExtractionEvaluate	7095	20 Bit	0	355	967.284	0	0	9.47381	1	1	0.012818	1	28.4386	1	-4.2888	1	2.92996	1	3.18448	1	5.43363	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	389.72	2695.48	3.565981e+004	3.565983e+003	29942	20	5.255414e+000	0	0	0	0	0	0	29855	1	1	56.419	20.2553
DATA	2	1	2	66	1	DarkCorner	DarkCorner	415.088	2695.61	3.853092e+000	3.787721e+000	32	21	5.561375e+000	0	0	0	0	0	0	-2.61669	0	0	57.259	21.403
DATA	3	1	3	66	1	DarkCorner	DarkCorner	441.104	2695.54	3.837031e+000	3.771933e+000	36	20	5.117873e+000	0	0	0	0	0	0	-0.264276	0	0	45.835	20.5714
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	465.973	2695.91	2.935430e+001	4.767093e+000	60	21	5.634824e+000	0	0	0	0	0	0	24.8869	1	1	46.8651	20.9538
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	491.563	2695.69	3.805678e+000	3.741799e+000	39	21	5.604416e+000	0	0	0	0	0	0	0.61078	0	0	45.1352	20.9658
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	516.781	2695.92	4.414519e+002	4.430212e+001	416.5	19	5.167037e+000	0	0	0	0	0	0	377.335	1	1	47.8731	19.4223
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	542.594	2695.59	4.748689e+000	3.741135e+000	41	20	5.266934e+000	0	0	0	0	0	0	4.07508	1	0	47.2035	20.4288
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	567.486	2695.93	7.328889e+000	3.767546e+000	43	21	5.280860e+000	0	0	0	0	0	0	6.31531	1	0	47.8731	21.4133
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	593.164	2695.74	3.744437e+000	3.680909e+000	34	20	5.139223e+000	0	0	0	0	0	0	-0.811733	0	0	44.4243	20.137
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	618.623	2695.88	2.334322e+001	4.345976e+000	57.5	20	5.107179e+000	0	0	0	0	0	0	20.278	1	1	46.5243	20.2983
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	643.5	2696	3.714307e+000	3.651290e+000	35	20	5.310358e+000	0	0	0	0	0	0	-1.40288	0	0	54.1152	20.5553
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	669	2696	1.208445e+001	3.832217e+000	48	20	4.948271e+000	0	0	0	0	0	0	10.5818	1	0	54.9904	20.4505
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	694.547	2696.01	3.684670e+000	3.622157e+000	36	19	4.962709e+000	0	0	0	0	0	0	-1.43883	0	0	48.8603	19.3146
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	720.014	2696.47	7.668844e+000	3.687585e+000	42.5	19	5.602025e+000	0	0	0	0	0	0	6.7706	1	0	47.2035	19.8533
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	744.81	2695.87	3.656213e+000	3.597867e+000	37.5	20	5.578082e+000	0	0	0	0	0	0	1.44243	0	0	49.1849	20.1056
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	770.803	2695.94	3.641409e+000	3.584144e+000	38	20	5.339097e+000	0	0	0	0	0	0	1.59992	0	0	46.8651	20.0243
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	796.395	2695.93	3.190641e+001	4.784709e+000	65	18	5.175732e+000	0	0	0	0	0	0	28.4963	1	1	49.1849	18.5954
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	821.658	2696.12	4.289455e+001	5.568863e+000	75	20	5.118626e+000	0	0	0	0	0	0	38.4623	1	1	49.1849	19.7407
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	847.013	2695.92	4.561554e+001	5.772863e+000	78	20	5.193019e+000	0	0	0	0	0	0	41.0564	1	1	46.8651	20.2755
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	872.418	2696.43	1.345436e+001	3.771727e+000	48.5	20	5.725206e+000	0	0	0	0	0	0	12.1595	1	0	57.5363	19.9373
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	897.5	2696.35	3.571024e+000	3.510442e+000	36	20	5.319489e+000	0	0	0	0	0	0	0.0458644	0	0	57.5363	20.2192
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	922.987	2696.37	4.273583e+000	3.523054e+000	40	20	5.303529e+000	0	0	0	0	0	0	3.89162	1	0	49.1849	20.2798
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	948.534	2696.26	3.544120e+000	3.483991e+000	31.5	18	4.897333e+000	0	0	0	0	0	0	-4.56873	0	0	48.8603	18.3731
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	973.873	2696.51	3.441598e+001	4.887686e+000	66	18	4.949695e+000	0	0	0	0	0	0	31.579	1	1	47.8731	18.4615
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	999.47	2696.28	3.862832e+001	5.184540e+000	74.5	20	5.030189e+000	0	0	0	0	0	0	35.5726	1	1	51.7088	20.1904
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	1025.2	2696.5	3.504255e+000	3.444802e+000	35	19	5.268878e+000	0	0	0	0	0	0	-0.0749858	0	0	52.3208	19.3236
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	1050	2696.46	3.491925e+000	3.438882e+000	38	18	4.849978e+000	0	0	0	0	0	0	1.91495	0	0	65	18.3659
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	1075.42	2696.43	1.276100e+001	3.650709e+000	47.5	20	5.262140e+000	0	0	0	0	0	0	11.8808	1	0	65	19.9885
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	1100.78	2696.38	3.467237e+000	3.408412e+000	35.5	20	5.018672e+000	0	0	0	0	0	0	-1.24986	0	0	52.6241	20.2998
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	1126.16	2696.86	3.641375e+000	3.415160e+000	39	19	4.955116e+000	0	0	0	0	0	0	3.41488	1	0	48.5334	18.8
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	1151.84	2695.92	8.856184e+000	3.499458e+000	44.5	19	5.124804e+000	0	0	0	0	0	0	8.33024	1	0	47.2035	19.3084
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	1177.24	2696.65	6.048823e+000	3.426619e+000	40	20	5.164043e+000	0	0	0	0	0	0	5.71108	1	0	48.8603	20.998
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	1202.71	2695.97	4.602347e+001	5.699987e+000	78	19	5.648287e+000	0	0	0	0	0	0	43.5833	1	1	49.1849	19.261
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	1227.89	2696.35	7.476000e+002	7.483508e+001	750	18	5.035838e+000	0	0	0	0	0	0	710.395	1	1	47.8731	18.6374
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	1253.36	2696.15	3.398578e+000	3.340918e+000	36	19	5.052368e+000	0	0	0	0	0	0	-0.132375	0	0	45.835	19.7471
